"SurfaceId","LegacyDesigner","LegacyResx","SurfaceKind","LegacyCapability","LegacyEntryEvidence","AvaloniaTarget","ImplementationStatus","BehaviorEvidence","HeadlessEvidence","SafetyDisposition","RemainingGap"
"UI-001","src/master/MainUI/frmChangePwd.designer.cs","src/master/MainUI/frmChangePwd.resx","Dialog","修改密码","frmMainMenu.cs:399-400","DiagnosticsView","ExternalBlocked","AVM-DIAG","AH-MAINTENANCE-GATE","无设备写入；密码不记录日志","真实认证与密码哈希服务未接入"
"UI-002","src/master/MainUI/frmDataManager.Designer.cs","src/master/MainUI/frmDataManager.resx","Window","试验记录组合查询、查看、删除、重传","frmMainMenu.cs:396-397;frmDataManager.cs","ReportsView","ImplementedExternalBlocked","AVM-REPORT","AH-REPORT","删除与上传命令禁用","SQLite、报表渲染、上传和备份恢复未接入"
"UI-003","src/master/MainUI/frmDeviceInspect.Designer.cs","src/master/MainUI/frmDeviceInspect.resx","Window","设备检查记录和清零","frmMainMenu.cs:119-121,408-409","DiagnosticsView","LegacyDisabledCovered","AVM-DIAG","AH-MAINTENANCE-GATE","项目级隐藏；不擅自启用清零","Legacy 主菜单明确隐藏"
"UI-004","src/master/MainUI/frmDispReport.Designer.cs","src/master/MainUI/frmDispReport.resx","Dialog","报表翻页、打印、退出","frmDataManager.cs:113-114","ReportsView","ImplementedExternalBlocked","AVM-REPORT","AH-REPORT","打印命令禁用","纯托管报表渲染与打印未接入"
"UI-005","src/master/MainUI/frmErrStatistics.Designer.cs","src/master/MainUI/frmErrStatistics.resx","Window","问题统计增删改","frmMainMenu.cs:119-121,411-412","DiagnosticsView","LegacyDisabledCovered","AVM-DIAG","AH-MAINTENANCE-GATE","项目级隐藏","Legacy 主菜单明确隐藏"
"UI-006","src/master/MainUI/frmHardWare.Designer.cs","src/master/MainUI/frmHardWare.resx","Window","AI/AO Zero/Gain 和输出检测","frmMainMenu.cs:98,393-394","CalibrationView","ImplementedSafetyLocked","AVM-CAL","AH-CAL","只允许本地公式计算；应用和输出禁用","真实读值、确认、质量、代次、回读和审计未闭合"
"UI-007","src/master/MainUI/frmLogin.designer.cs","src/master/MainUI/frmLogin.resx","Window","用户登录","Program.cs:105-117","OverviewView","OfflineOnly","AVM-LOGIN","AH-LOGIN","ConfiguredDevices 不伪造登录","数据库认证、角色权限和密码安全未接入"
"UI-008","src/master/MainUI/frmMainMenu.Designer.cs","src/master/MainUI/frmMainMenu.resx","Window","主菜单、状态、入口和退出","Program.cs:162-165;frmMainMenu.cs","MainWindow","Implemented","AVM-NAV","AH-NAV+LAYOUT","共享 Core/Gateway 状态源","UOS 触控、字体和现场退出生命周期待验收"
"UI-009","src/master/MainUI/frmMeteringRemind.Designer.cs","src/master/MainUI/frmMeteringRemind.resx","Window","维保计量增删改和完成","frmMainMenu.cs:119-121,405-406","DiagnosticsView","LegacyDisabledCovered","AVM-DIAG","AH-MAINTENANCE-GATE","项目级隐藏","Legacy 主菜单明确隐藏"
"UI-010","src/master/MainUI/frmNLogs.Designer.cs","src/master/MainUI/frmNLogs.resx","Window","日志日期查询、All/Trace/Debug/Info/Warn/Error/Fatal 等级筛选；关键字为 Avalonia 增强","frmMainMenu.cs:402-403","DiagnosticsView","ImplementedSessionOnly","AVM-DIAG","AH-DIAG","只读当前会话、时间倒序且上限 500 条","历史 SQLite 日志查询、真实操作员/来源持久化未接入"
"UI-011","src/master/MainUI/frmSetOutValue.Designer.cs","src/master/MainUI/frmSetOutValue.resx","Dialog","手动数值输出","ucHMI.cs:986-1015","ProcessOverviewView","ImplementedSafetyLocked","AVM-WRITE-GATE","AH-MANUAL-OUTPUT-GATE","不提供数值写命令","P3 安全矩阵未批准"
"UI-012","src/master/MainUI/frmSettingMain.designer.cs","src/master/MainUI/frmSettingMain.resx","Window","参数管理导航容器","frmMainMenu.cs:222-273","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","只改当前会话","持久化与角色过滤未闭合"
"UI-013","src/master/MainUI/frmSpec.Designer.cs","src/master/MainUI/frmSpec.resx","Dialog","车型和型号选择","ucHMI.cs:971-984","TestOperationView","ImplementedSessionOnly","AVM-PRODUCT","AH-PRODUCT","提交到同一 Core 产品合同","数据库型号与参数刷新未接入"
"UI-014","src/master/MainUI/InsulationWithstand/FrmInsulationWithstand.Designer.cs","src/master/MainUI/InsulationWithstand/FrmInsulationWithstand.resx","Window","绝缘耐压、电阻参数和 TCP 仪器控制","UcHMI_FLE.cs","InstrumentView","ImplementedSafetyLocked","AVM-INSTR","AH-INSTR","仅本地参数校验；连接和发送全部禁用","仪器平台适配器和现场协议未验收"
"UI-015","src/master/MainUI/Modules/AIGrp.Designer.cs","","ReusableControl","模拟量输入组","OPCHelper.cs:44-45","OverviewView+ProcessOverviewView","PartialReadOnly","AVM-P2","AH-OVERVIEW","仅 P2 已确认点显示质量和代次","完整 AI 地址、类型和现场映射未闭合"
"UI-016","src/master/MainUI/Modules/AOGrp.Designer.cs","","ReusableControl","模拟量输出组","Modules/AOGrp.cs","CalibrationView+ProcessOverviewView","ImplementedSafetyLocked","AVM-CAL","AH-CAL","AO 写入固定禁用","P3 安全审批未完成"
"UI-017","src/master/MainUI/Modules/DIGrp.Designer.cs","","ReusableControl","数字量输入组","Modules/DIGrp.cs","OverviewView+ProcessOverviewView","PartialReadOnly","AVM-P2","AH-OVERVIEW","DI00 Unknown/Bad/false 分离","完整 DI 点表和现场语义未闭合"
"UI-018","src/master/MainUI/Modules/DOGrp.Designer.cs","","ReusableControl","数字量输出组","Modules/DOGrp.cs","ProcessOverviewView","ImplementedSafetyLocked","AVM-WRITE-GATE","AH-OUTPUT-GATE","DO/VX 命令固定禁用","P3 安全审批未完成"
"UI-019","src/master/MainUI/Modules/OpcStatusGrp.Designer.cs","","ReusableControl","连接与仿真状态","frmMainMenu.cs:453-466","MainWindow+OverviewView","Implemented","AVM-P2","AH-OVERVIEW","只读状态，不把 Bad 当 false","生产 OPC UA 链路未接入"
"UI-020","src/master/MainUI/Modules/PLCCalibration.Designer.cs","src/master/MainUI/Modules/PLCCalibration.resx","ReusableControl","Zero/Gain 通道","frmHardWare.cs","CalibrationView","ImplementedSafetyLocked","AVM-CAL","AH-CAL","打开和计算零写调用","真实只读值与审批写链未接入"
"UI-021","src/master/MainUI/Modules/TestConGrp.Designer.cs","","ReusableControl","Test00 手自动状态","ucHMI.cs:723-741","OverviewView+TestOperationView","PartialReadOnly","AVM-TEST00-GATE","AH-TEST00-GATE","Test00 未采样时控制禁用","Test00 点位和类型未现场确认"
"UI-022","src/master/MainUI/Modules/WSDGrp.Designer.cs","","ReusableControl","WSD 仪表通道","OPCHelper.cs:44-45","OverviewView+ProcessOverviewView","PartialReadOnly","AVM-P2","AH-OVERVIEW","仅 CH00 离线切片","CH00 现场设备映射未闭合"
"UI-023","src/master/MainUI/Procedure/Controls/SwitchPictureBox.Designer.cs","src/master/MainUI/Procedure/Controls/SwitchPictureBox.resx","ReusableControl","开关状态图片和操作","Procedure/Controls/SwitchPictureBox.cs","ProcessOverviewView","ImplementedSafetyLocked","AVM-WRITE-GATE","AH-OUTPUT-GATE","只呈现锁定状态","真实状态图片与触控反馈待 UOS QA"
"UI-024","src/master/MainUI/Procedure/Controls/UcSwitch.Designer.cs","src/master/MainUI/Procedure/Controls/UcSwitch.resx","ReusableControl","水泵/开关操作","Procedure/Controls/UcSwitch.cs","ProcessOverviewView","ImplementedSafetyLocked","AVM-WRITE-GATE","AH-OUTPUT-GATE","按钮不可执行写入","P3 安全审批未完成"
"UI-025","src/master/MainUI/Procedure/Edit/frmDeviceInspectEdit.designer.cs","src/master/MainUI/Procedure/Edit/frmDeviceInspectEdit.resx","Dialog","设备检查编辑","frmDeviceInspect.cs","DiagnosticsView","LegacyDisabledCovered","AVM-DIAG","AH-MAINTENANCE-GATE","项目级隐藏","父功能未启用"
"UI-026","src/master/MainUI/Procedure/Edit/frmErrStatisticsEdit.designer.cs","src/master/MainUI/Procedure/Edit/frmErrStatisticsEdit.resx","Dialog","问题记录编辑","frmErrStatistics.cs","DiagnosticsView","LegacyDisabledCovered","AVM-DIAG","AH-MAINTENANCE-GATE","项目级隐藏","父功能未启用"
"UI-027","src/master/MainUI/Procedure/Edit/frmMeteringEdit.designer.cs","src/master/MainUI/Procedure/Edit/frmMeteringEdit.resx","Dialog","维保计量编辑","frmMeteringRemind.cs","DiagnosticsView","LegacyDisabledCovered","AVM-DIAG","AH-MAINTENANCE-GATE","项目级隐藏","父功能未启用"
"UI-028","src/master/MainUI/Procedure/Edit/frmModelEdit.designer.cs","src/master/MainUI/Procedure/Edit/frmModelEdit.resx","Dialog","车型、型号名称、备注和发布状态编辑","Procedure/ucModelManage.cs","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","只改当前会话；发布不触发外部刷新","SQLite 型号事务和真实发布/参数刷新未接入"
"UI-029","src/master/MainUI/Procedure/Edit/frmModelTypeEdit.designer.cs","src/master/MainUI/Procedure/Edit/frmModelTypeEdit.resx","Dialog","车型编辑","Procedure/ucKindManage.cs","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","只改当前会话","SQLite 车型事务未接入"
"UI-030","src/master/MainUI/Procedure/Edit/frmPermissionEdit.designer.cs","src/master/MainUI/Procedure/Edit/frmPermissionEdit.resx","Dialog","权限名称、代码、控件名和备注编辑","Procedure/User/ucPermission.cs","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","不新增 Legacy 隐藏且未使用的权限类型；不改变真实授权","权限存储、唯一性事务和授权审计未接入"
"UI-031","src/master/MainUI/Procedure/Edit/frmRoleEdit.designer.cs","src/master/MainUI/Procedure/Edit/frmRoleEdit.resx","Dialog","角色编辑","Procedure/User/ucRole.cs","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","不改变真实授权","角色事务和软删除未接入"
"UI-032","src/master/MainUI/Procedure/Edit/frmTestProcess.designer.cs","src/master/MainUI/Procedure/Edit/frmTestProcess.resx","Dialog","车型、项点名称、实体类和启用状态编辑","Procedure/ucItemManagerial.cs","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","实体类仅为会话字段；禁止运行时创建/移动/删除 C# 类","安全的受控项点程序集策略未定"
